"section","files","obtenerDatos","subscribe","setTimeout","localStorage","rxjsSubject","legacyWord"
"1","4","2","0","0","0","0","7"
"10","4","0","4","0","0","0","0"
"11","4","0","0","0","0","0","0"
"12","4","1","0","0","0","0","2"
"13","4","0","1","0","0","0","0"
"14","4","1","2","0","0","0","1"
"15","4","0","2","0","0","0","0"
"16","4","0","0","0","0","0","0"
"17","4","2","1","1","0","0","5"
"18","4","0","2","0","0","0","0"
"19","4","0","1","0","0","0","1"
"2","4","0","0","0","0","0","0"
"20","4","0","0","0","0","0","0"
"21","4","0","0","0","0","0","0"
"22","4","0","2","0","0","0","0"
"23","4","0","3","0","0","0","1"
"24","4","0","1","0","0","0","2"
"25","4","0","3","0","0","0","0"
"26","4","0","4","0","0","0","0"
"27","4","0","0","0","0","0","0"
"28","4","1","1","0","0","0","0"
"29","4","0","1","0","0","0","1"
"3","4","0","0","0","0","0","0"
"30","4","0","2","0","0","0","0"
"31","1","2","0","0","0","0","0"
"32","1","2","0","0","0","0","0"
"33","1","2","0","0","0","0","0"
"34","1","2","0","0","0","0","0"
"35","1","2","0","0","0","0","0"
"36","1","2","0","0","0","0","0"
"4","4","2","0","2","0","0","4"
"5","4","1","0","0","0","0","2"
"6","4","0","4","0","0","0","0"
"7","4","0","3","0","0","0","1"
"8","4","0","1","0","0","0","0"
"9","4","0","2","0","0","0","0"
