"section","file","path","obtenerDatos","localStorage","sessionStorage","setTimeout","subscribe","rxjsSubject","legacyWord","datosWord"
"1","seccion1-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion1-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"10","seccion10-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion10-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"11","seccion11-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion11-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"12","seccion12-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion12-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"13","seccion13-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion13-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"14","seccion14-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion14-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"15","seccion15-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion15-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"16","seccion16-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion16-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"17","seccion17-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion17-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"18","seccion18-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion18-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"19","seccion19-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion19-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"2","seccion2-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion2-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"20","seccion20-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion20-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"21","seccion21-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion21-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"22","seccion22-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion22-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"23","seccion23-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion23-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"24","seccion24-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion24-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"25","seccion25-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion25-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"26","seccion26-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion26-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
"27","seccion27-form-wrapper.component.ts","C:\Users\montu\Desktop\Documentador\webDocumentador\src\app\shared\components\forms\seccion27-form-wrapper.component.ts","0","0","0","0","0","0","0","0"
